date,new_tested,acc_tested,new_confirmed,acc_confirmed,acc_negative,being_checked,isolated,new_released,acc_released,new_deceased,acc_deceased,positive_rate,negative_rate,decease_rate,release_rate,dailypositive_rate
2-Mar-20,,339,2,2,335,2,2,0,0,0,0,0.59%,98.82%,0.00%,0.00%,0.00%
3-Mar-20,2,341,0,2,337,2,2,0,0,0,0,0.59%,98.83%,0.00%,0.00%,0.00%
4-Mar-20,31,372,0,2,356,14,2,0,0,0,0,0.54%,95.70%,0.00%,0.00%,0.00%
5-Mar-20,16,388,0,2,371,15,2,0,0,0,0,0.52%,95.62%,0.00%,0.00%,0.00%
6-Mar-20,62,450,2,4,422,24,4,0,0,0,0,0.89%,93.78%,0.00%,0.00%,3.23%
7-Mar-20,4,454,0,4,422,28,4,0,0,0,0,0.88%,92.95%,0.00%,0.00%,0.00%
8-Mar-20,29,483,2,6,445,32,6,0,0,0,0,1.24%,92.13%,0.00%,0.00%,6.90%
9-Mar-20,60,543,13,19,487,37,19,0,0,0,0,3.50%,89.69%,0.00%,0.00%,21.67%
10-Mar-20,151,694,8,27,648,19,27,0,0,0,0,3.89%,93.37%,0.00%,0.00%,5.30%
11-Mar-20,99,793,7,34,744,15,30,2,2,2,2,4.29%,93.82%,5.88%,5.88%,7.07%
12-Mar-20,69,862,0,34,811,17,27,1,3,2,4,3.94%,94.08%,11.76%,8.82%,0.00%
13-Mar-20,143,1005,35,69,917,19,60,2,5,0,4,6.87%,91.24%,5.80%,7.25%,24.48%
14-Mar-20,200,1205,27,96,1109,0,83,3,8,1,5,7.97%,92.03%,5.21%,8.33%,13.50%
15-Mar-20,88,1293,21,117,1167,9,104,0,8,0,5,9.05%,90.26%,4.27%,6.84%,23.86%
16-Mar-20,,1330,17,134,1183,13,121,0,8,0,5,10.08%,88.95%,3.73%,5.97%,23.86%
17-Mar-20,142,1372,38,172,1278,22,156,1,9,2,7,12.54%,93.15%,4.07%,5.23%,26.76%
18-Mar-20,220,1592,55,227,1342,23,197,2,11,12,19,14.26%,84.30%,8.37%,4.85%,25.00%
19-Mar-20,306,1651,82,309,1570,19,269,4,15,6,25,18.72%,95.09%,8.09%,4.85%,26.80%
20-Mar-20,130,2028,60,369,1643,18,321,1,16,7,32,18.20%,81.02%,8.67%,4.34%,46.15%
21-Mar-20,337,2365,81,450,1895,20,392,4,20,6,38,19.03%,80.13%,8.44%,4.44%,24.04%
22-Mar-20,73,2438,64,514,1904,20,437,9,29,10,48,21.08%,78.10%,9.34%,5.64%,87.67%
23-Mar-20,318,2756,65,579,2177,0,500,1,30,1,49,21.01%,78.99%,8.46%,5.18%,20.44%
24-Mar-20,576,3332,106,685,2625,22,600,0,30,6,55,20.56%,78.78%,8.03%,4.38%,18.40%
25-Mar-20,490,3822,105,790,3032,0,701,1,31,3,58,20.67%,79.33%,7.34%,3.92%,21.43%
26-Mar-20,514,4336,103,893,3443,0,780,4,35,20,78,20.60%,79.40%,8.73%,3.92%,20.04%
27-Mar-20,1439,5775,153,1046,4729,0,913,11,46,9,87,18.11%,81.89%,8.32%,4.40%,10.63%
28-Mar-20,491,6266,109,1155,5111,0,994,13,59,15,102,18.43%,81.57%,8.83%,5.11%,22.20%
29-Mar-20,268,6534,130,1285,5249,0,1107,5,64,12,114,19.67%,80.33%,8.87%,4.98%,48.51%
30-Mar-20,129,6663,129,1414,5249,0,1217,11,75,8,122,21.22%,78.78%,8.63%,5.30%,100.00%
31-Mar-20,114,6777,114,1528,5249,0,1311,6,81,14,136,22.55%,77.45%,8.90%,5.30%,100.00%
