date,aceh,bali,banten,bengkulu,gorontalo,di_yogyakarta,dki_jakarta,jambi,jabar,jateng,jatim,kalbar,kalsel,kalteng,kaltim,kaltara,kep_babel,kep_riau,lampung,maluku,malut,ntb,ntt,papua,papbar,riau,sulbar,sulsel,sulteng,sultra,sulut,sumbar,sumsel,sumut,unknown
19-Mar-20,0,1,39,0,0,4,186,0,40,12,9,2,0,2,3,0,0,3,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,2,0
20-Mar-20,0,2,4,0,0,0,40,0,1,0,6,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar-20,0,0,4,0,0,1,44,0,14,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
22-Mar-20,0,0,0,0,0,0,40,0,4,1,15,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
23-Mar-20,0,3,9,0,0,0,44,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2
24-Mar-20,0,0,9,0,0,1,70,0,1,4,10,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,5,0
25-Mar-20,0,3,2,0,0,10,38,0,13,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,8
26-Mar-20,1,0,0,0,0,0,53,0,5,2,8,0,0,2,0,0,0,0,2,0,0,0,0,4,0,1,0,14,1,0,0,3,0,0,20
27-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
